"age","sex","category","population"
66,"Miehet","v2010",83
66,"Miehet","v2024",100
67,"Miehet","v1990",76
67,"Miehet","v2010",81
67,"Miehet","v2024",106
68,"Miehet","v1990",58
68,"Miehet","v2010",63
68,"Miehet","v2024",115
69,"Miehet","v1990",51
69,"Miehet","v2010",89
69,"Miehet","v2024",115
70,"Miehet","v1990",63
70,"Miehet","v2010",54
70,"Miehet","v2024",112
71,"Miehet","v1990",49
71,"Miehet","v2010",75
71,"Miehet","v2024",101
72,"Miehet","v1990",37
72,"Miehet","v2010",63
72,"Miehet","v2024",115
73,"Miehet","v1990",45
73,"Miehet","v2010",60
73,"Miehet","v2024",115
74,"Miehet","v1990",37
74,"Miehet","v2010",49
74,"Miehet","v2024",93
75,"Miehet","v1990",36
75,"Miehet","v2010",47
75,"Miehet","v2024",107
76,"Miehet","v1990",29
76,"Miehet","v2010",45
76,"Miehet","v2024",107
77,"Miehet","v1990",41
77,"Miehet","v2010",53
77,"Miehet","v2024",96
78,"Miehet","v1990",25
78,"Miehet","v2010",44
78,"Miehet","v2024",71
79,"Miehet","v1990",25
79,"Miehet","v2010",40
79,"Miehet","v2024",74
80,"Miehet","v1990",27
80,"Miehet","v2010",45
80,"Miehet","v2024",55
81,"Miehet","v1990",22
81,"Miehet","v2010",37
81,"Miehet","v2024",41
82,"Miehet","v1990",20
82,"Miehet","v2010",36
82,"Miehet","v2024",38
83,"Miehet","v1990",21
83,"Miehet","v2010",35
83,"Miehet","v2024",45
84,"Miehet","v1990",15
84,"Miehet","v2010",29
84,"Miehet","v2024",19
85,"Miehet","v1990",11
85,"Miehet","v2010",25
85,"Miehet","v2024",37
86,"Miehet","v1990",8
86,"Miehet","v2010",21
86,"Miehet","v2024",23
87,"Miehet","v1990",6
87,"Miehet","v2010",13
87,"Miehet","v2024",21
88,"Miehet","v1990",4
88,"Miehet","v2010",12
88,"Miehet","v2024",19
89,"Miehet","v1990",5
89,"Miehet","v2010",8
89,"Miehet","v2024",19
90,"Miehet","v1990",1
90,"Miehet","v2010",10
90,"Miehet","v2024",8
91,"Miehet","v1990",5
91,"Miehet","v2010",8
91,"Miehet","v2024",12
92,"Miehet","v1990",0
92,"Miehet","v2010",2
92,"Miehet","v2024",8
93,"Miehet","v1990",2
93,"Miehet","v2010",2
93,"Miehet","v2024",4
94,"Miehet","v1990",0
94,"Miehet","v2010",2
94,"Miehet","v2024",5
95,"Miehet","v1990",1
95,"Miehet","v2010",0
95,"Miehet","v2024",3
96,"Miehet","v1990",0
96,"Miehet","v2010",0
96,"Miehet","v2024",1
97,"Miehet","v1990",0
97,"Miehet","v2010",0
97,"Miehet","v2024",0
98,"Miehet","v1990",0
98,"Miehet","v2010",0
98,"Miehet","v2024",0
99,"Miehet","v1990",0
99,"Miehet","v2010",0
99,"Miehet","v2024",0
100,"Miehet","v1990",0
100,"Miehet","v2010",0
100,"Miehet","v2024",0
0,"Naiset","v1990",100
0,"Naiset","v2010",105
0,"Naiset","v2024",48
1,"Naiset","v1990",92
1,"Naiset","v2010",98
1,"Naiset","v2024",51
2,"Naiset","v1990",84
2,"Naiset","v2010",111
2,"Naiset","v2024",61
3,"Naiset","v1990",87
3,"Naiset","v2010",109
3,"Naiset","v2024",60
4,"Naiset","v1990",86
4,"Naiset","v2010",120
4,"Naiset","v2024",69
5,"Naiset","v1990",114
5,"Naiset","v2010",137
5,"Naiset","v2024",74
6,"Naiset","v1990",88
6,"Naiset","v2010",122
6,"Naiset","v2024",56
7,"Naiset","v1990",98
7,"Naiset","v2010",102
7,"Naiset","v2024",82
8,"Naiset","v1990",113
8,"Naiset","v2010",101
8,"Naiset","v2024",77
9,"Naiset","v1990",100
9,"Naiset","v2010",97
9,"Naiset","v2024",85
10,"Naiset","v1990",100
10,"Naiset","v2010",99
10,"Naiset","v2024",89
11,"Naiset","v1990",94
11,"Naiset","v2010",109
11,"Naiset","v2024",96
12,"Naiset","v1990",103
12,"Naiset","v2010",98
12,"Naiset","v2024",103
13,"Naiset","v1990",89
13,"Naiset","v2010",113
13,"Naiset","v2024",101
14,"Naiset","v1990",85
14,"Naiset","v2010",95
14,"Naiset","v2024",107
15,"Naiset","v1990",111
15,"Naiset","v2010",97
15,"Naiset","v2024",103
16,"Naiset","v1990",107
16,"Naiset","v2010",116
16,"Naiset","v2024",105
17,"Naiset","v1990",89
17,"Naiset","v2010",83
17,"Naiset","v2024",107
18,"Naiset","v1990",98
18,"Naiset","v2010",89
18,"Naiset","v2024",104
19,"Naiset","v1990",99
19,"Naiset","v2010",73
19,"Naiset","v2024",78
20,"Naiset","v1990",114
20,"Naiset","v2010",67
20,"Naiset","v2024",50
21,"Naiset","v1990",113
21,"Naiset","v2010",53
21,"Naiset","v2024",33
22,"Naiset","v1990",84
22,"Naiset","v2010",47
22,"Naiset","v2024",50
23,"Naiset","v1990",105
23,"Naiset","v2010",51
23,"Naiset","v2024",46
24,"Naiset","v1990",102
24,"Naiset","v2010",61
24,"Naiset","v2024",43
25,"Naiset","v1990",102
25,"Naiset","v2010",81
25,"Naiset","v2024",54
26,"Naiset","v1990",98
26,"Naiset","v2010",75
